time,stress,shearX,shearY,grip,angle,rawStress,rawShearX,rawShearY,rawGrip,rawAngle
02:25:14:19:35:391839,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:35:507507,200.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:35:638822,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:35:764924,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:35:891644,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:36:16735,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:36:141774,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:36:268660,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:36:394047,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:36:520263,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:36:645756,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:36:771126,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:36:897445,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:37:23807,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:37:150186,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:37:276415,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:37:402022,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:37:516098,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:37:646444,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:37:772416,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:37:897989,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:38:24849,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:38:150346,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:38:275345,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:38:400692,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:38:526321,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:38:652972,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:38:781072,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:38:904831,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:39:32482,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:39:157969,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:39:284162,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:39:411222,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:39:525690,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:39:651413,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:39:776530,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:39:902549,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:40:27772,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:40:154569,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
02:25:14:19:40:280844,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
